"Whirlpool Corporation","WHR",177.96,178.87,"178.82 - 183.14",202.99,145.91,177.09,180.84,894871,N/A,N/A,766723
"Whole Foods Market, Inc.","WFM",41.99,41.99,"41.99 - 42.00",43.84,27.67,41.82,36.34,760065,N/A,N/A,8206620
"Williams Companies, Inc. (The)","WMB",29.60,29.71,"29.26 - 29.72",32.69,27.35,30.09,30.10,3634942,N/A,N/A,4042440
"Willis Towers Watson Public Lim","WLTW",161.17,161.93,"161.49 - 163.06",163.06,112.76,154.21,146.06,484559,100,1200,774675
"Wyndham Worldwide Corp Common  ","WYN",109.30,109.84,"108.65 - 109.85",110.74,62.60,104.61,99.72,728550,N/A,N/A,1025290
"Wynn Resorts, Limited","WYNN",145.53,146.80,"144.22 - 146.82",150.40,82.51,144.80,132.67,1063148,200,300,1971770
"Xcel Energy Inc.","XEL",49.25,49.18,"49.06 - 49.41",50.56,38.00,48.48,47.16,2410844,N/A,N/A,2485250
"Xerox Corporation","XRX",33.10,33.31,"33.19 - 33.60",34.13,22.90,32.84,30.20,2301405,N/A,N/A,1953570
"Xilinx, Inc.","XLNX",72.42,72.86,"71.70 - 72.86",73.32,49.78,69.55,65.11,2030739,100,100,2270860
"XL Group Ltd.","XL",42.46,42.96,"42.29 - 42.99",47.27,33.22,39.75,42.24,2949357,N/A,N/A,2585850
"Xylem Inc.  New","XYL",63.89,64.29,"64.02 - 64.38",66.28,45.60,63.64,56.87,815460,N/A,N/A,940032
N/A,"YHOO",N/A,N/A,N/A,57.39,35.05,50.51,45.66,0,N/A,N/A,19798100
"Yum! Brands, Inc.","YUM",75.82,76.05,"75.71 - 76.17",78.14,59.57,75.67,72.81,1271301,N/A,N/A,1824090
"Zimmer Biomet Holdings, Inc.","ZBH",121.88,122.37,"121.32 - 122.83",133.49,95.63,117.08,120.37,792749,N/A,N/A,1309340
"Zions Bancorporation","ZION",46.05,46.77,"46.55 - 46.98",48.33,30.85,45.36,43.28,2134380,N/A,N/A,2141520
"Zoetis Inc. Class A","ZTS",65.58,65.63,"65.24 - 65.99",66.11,46.86,64.43,61.30,1690098,N/A,N/A,2190340
